"","AG","AF","B2","GF","JF","MBF","PB","WE","WA"
"1",0.0095,0.0018,0.0095,0.0099,0.0099,0.0028,0.0101,0.0099,0.0102
"2",0.0091,0.0154,0.0091,0.0096,0.0091,0.0265,0.0091,0.0091,0.0094
"3",0.0096,0.0029,0.0095,0.0094,0.0096,0.0054,0.0092,0.0096,0.0099
"4",0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0
"7",0.25,0.4505,0.25,0.255,0.2487,0.5047,0.2464,0.2487,0.251
"8",0,0,0,0,0,0,0,0,0
"9",7e-04,2e-04,7e-04,6e-04,7e-04,4e-04,8e-04,7e-04,7e-04
"10",5e-04,1e-04,5e-04,5e-04,5e-04,2e-04,5e-04,5e-04,5e-04
"11",0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0
"13",0.0136,0.0027,0.0136,0.0131,0.0143,0.0034,0.0136,0.0143,0.0147
"14",0.0324,0.0073,0.0324,0.0325,0.033,0.0094,0.033,0.033,0.0338
"15",0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0
"19",0.0045,0.0651,0.0045,0.0053,0.0042,0.0967,0.004,0.0042,0.0044
"20",0,0,0,0,0,0,0,0,0
"21",2e-04,0,2e-04,2e-04,2e-04,1e-04,3e-04,2e-04,2e-04
"22",0,0,0,0,0,0,0,0,0
"23",8e-04,2e-04,8e-04,9e-04,9e-04,4e-04,9e-04,9e-04,9e-04
"24",7e-04,1e-04,7e-04,7e-04,9e-04,2e-04,8e-04,9e-04,9e-04
"25",0.0022,0.0058,0.0022,0.0025,0.0022,0.0116,0.0021,0.0022,0.0023
"26",3e-04,0,3e-04,3e-04,3e-04,1e-04,3e-04,3e-04,3e-04
"27",1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04
"28",0,0,0,0,0,0,0,0,0
"29",0.001,1e-04,0.001,0.001,0.0011,2e-04,0.0012,0.0011,0.0011
"30",0.0027,0.0085,0.0027,0.0029,0.0027,0.0164,0.0027,0.0027,0.0029
"31",0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0
"35",6e-04,4e-04,6e-04,7e-04,6e-04,9e-04,7e-04,6e-04,7e-04
"36",0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0
"38",0.012,0.0122,0.012,0.0124,0.0119,0.0213,0.0117,0.0119,0.0122
"39",0,0,0,1e-04,0,0,0,0,0
"40",0,1e-04,0,0,0,2e-04,0,0,0
"41",5e-04,0,5e-04,6e-04,6e-04,1e-04,6e-04,6e-04,6e-04
"42",3e-04,5e-04,3e-04,3e-04,3e-04,0.0011,3e-04,3e-04,3e-04
"43",1e-04,0,1e-04,2e-04,1e-04,0,2e-04,1e-04,1e-04
"44",0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0
"46",2e-04,0,2e-04,2e-04,2e-04,0,2e-04,2e-04,2e-04
"47",1e-04,0,1e-04,2e-04,1e-04,0,1e-04,1e-04,1e-04
"48",0,1e-04,0,0,0,2e-04,0,0,0
"49",0.0042,9e-04,0.0042,0.0042,0.0043,0.0017,0.0045,0.0043,0.0045
"50",0.1282,0.0461,0.1282,0.1294,0.1282,0.0592,0.1278,0.1282,0.1301
"51",0.0052,0.001,0.0052,0.0049,0.0055,0.0016,0.0052,0.0055,0.0057
"52",0,0,0,0,0,0,0,0,0
"53",1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04
"54",0,0,0,0,0,0,1e-04,0,0
"55",0.0195,0.004,0.0195,0.0196,0.0199,0.0064,0.0198,0.0199,0.0205
"56",0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0
"59",0.0101,0.0019,0.0101,0.0101,0.0104,0.0029,0.0101,0.0104,0.0107
"60",0,0,0,0,0,0,0,0,0
"61",0.0017,3e-04,0.0017,0.0018,0.0018,5e-04,0.0019,0.0018,0.0019
"62",0,0,0,0,0,0,0,0,0
"63",3e-04,0,3e-04,2e-04,3e-04,0,3e-04,3e-04,3e-04
"64",0,0,0,0,0,0,0,0,0
"65",1e-04,0,1e-04,0,1e-04,0,0,1e-04,1e-04
"66",0,0,0,0,0,1e-04,0,0,0
"67",9e-04,2e-04,9e-04,0.001,9e-04,3e-04,9e-04,9e-04,0.001
"68",0,0,0,0,0,0,1e-04,0,0
"69",0.0012,1e-04,0.0012,0.0011,0.0014,2e-04,0.0015,0.0014,0.0014
"70",3e-04,0,3e-04,2e-04,3e-04,0,2e-04,3e-04,3e-04
"71",0,0,0,0,0,0,1e-04,0,0
"72",0,0,0,0,0,0,0,0,0
"73",5e-04,0,5e-04,4e-04,5e-04,1e-04,6e-04,5e-04,5e-04
"74",0,0,0,0,0,0,0,0,0
"75",0.0061,0.0012,0.0061,0.0062,0.0064,0.0022,0.0059,0.0064,0.0066
"76",3e-04,2e-04,3e-04,3e-04,3e-04,5e-04,3e-04,3e-04,3e-04
