"","AG","AF","B2","GF","JF","MBF","PB","WE","WA"
"1",1e-04,0.1233,1e-04,1e-04,3e-04,0.1277,3e-04,3e-04,3e-04
"2",0.1575,0.1813,0.1575,0.1456,0.1644,0.1893,0.166,0.1644,0.1674
"3",0.0478,0.4663,0.0478,0.0446,0.0558,0.5017,0.0566,0.0558,0.0573
"4",1e-04,0.0584,1e-04,1e-04,2e-04,0.063,2e-04,2e-04,2e-04
"5",4e-04,0.4011,4e-04,4e-04,8e-04,0.4319,0.0011,8e-04,8e-04
"6",0.014,0.306,0.014,0.0134,0.0182,0.3879,0.0186,0.0182,0.0189
"7",1e-04,0.0763,1e-04,1e-04,2e-04,0.0825,3e-04,2e-04,2e-04
"8",0.0391,0.5262,0.0391,0.0373,0.0468,0.5328,0.0465,0.0468,0.0481
"9",0.0117,0.22,0.0117,0.0106,0.0147,0.2845,0.0152,0.0147,0.0153
"10",1e-04,0.1797,1e-04,1e-04,3e-04,0.189,4e-04,3e-04,3e-04
"11",0.2613,0.8063,0.2613,0.2513,0.2708,0.8287,0.2711,0.2708,0.2745
"12",0.0144,0.2846,0.0144,0.014,0.0191,0.2887,0.0197,0.0191,0.0198
"13",6e-04,0.3359,6e-04,4e-04,0.001,0.3389,0.0012,0.001,0.0011
"14",0.0026,0.5496,0.0026,0.0023,0.0039,0.5729,0.0044,0.0039,0.0041
"15",0.0208,0.5512,0.0208,0.02,0.0264,0.5528,0.0276,0.0264,0.0272
"16",0.0033,0.1277,0.0033,0.0031,0.005,0.1333,0.0052,0.005,0.0052
"17",0.0945,0.2609,0.0944,0.0889,0.1036,0.2778,0.1043,0.1036,0.1059
"18",0.0052,0.4548,0.0052,0.0049,0.0074,0.4606,0.0077,0.0074,0.0077
"19",0,0.1093,0,0,0,0.1171,0,0,0
"20",0.0024,0.0669,0.0024,0.0019,0.0037,0.0736,0.0043,0.0037,0.0039
"21",0.0252,0.7205,0.0252,0.0227,0.0282,0.726,0.0295,0.0282,0.0291
"22",0.0013,0.3772,0.0013,0.001,0.002,0.4284,0.0022,0.002,0.0021
"23",0.0036,0.4128,0.0036,0.0033,0.0052,0.4273,0.0057,0.0052,0.0054
"24",0,0.0189,0,0,0,0.0356,0,0,0
