"","AG","AF","B2","GF","JF","MBF","PB","WE","WA"
"1",0.2527,0.7022,0.2522,0.2038,0.3013,0.7084,0.323,0.3013,0.3181
"2",0.4707,0.1795,0.4686,0.3644,0.4512,0.2156,0.4675,0.4512,0.4692
"3",0.0979,0.2946,0.0975,0.07,0.143,0.3249,0.1735,0.143,0.1546
"4",2e-04,0.1038,2e-04,1e-04,0.0027,0.1427,0.0151,0.0027,0.0032
"5",0.0999,0.5649,0.0997,0.08,0.1408,0.5798,0.1676,0.1408,0.1522
"6",0.0339,0.1144,0.0339,0.0233,0.0611,0.1361,0.0855,0.0611,0.0675
"7",0.8162,0.8535,0.8155,0.7834,0.8346,0.8549,0.8388,0.8346,0.8443
"8",0.212,0.3993,0.2108,0.1857,0.2835,0.424,0.3076,0.2835,0.2997
"9",0.0171,0.4909,0.017,0.0122,0.0461,0.5195,0.0691,0.0461,0.0513
"10",0.15,0.2362,0.1492,0.0897,0.1056,0.2991,0.1303,0.1056,0.115
"11",0.2749,0.8854,0.2742,0.2471,0.3434,0.8889,0.3654,0.3434,0.3608
"12",0.6164,0.1902,0.6152,0.4185,0.455,0.2244,0.4756,0.455,0.4731
"13",0.0421,0.1952,0.0418,0.0307,0.0853,0.2282,0.1113,0.0853,0.0934
"14",0.0738,0.8588,0.0736,0.0617,0.1357,0.8616,0.1636,0.1357,0.1469
"15",0.0021,0.8152,0.0021,0.002,0.0057,0.8183,0.0219,0.0057,0.0066
"16",0.6337,0.9608,0.6329,0.6046,0.6751,0.9616,0.6845,0.6751,0.6902
"17",0.0664,0.3749,0.0661,0.0462,0.1177,0.4119,0.147,0.1177,0.128
"18",0.8753,0.5262,0.8733,0.8212,0.8695,0.6031,0.8739,0.8695,0.8776
"19",0.017,0.0818,0.017,0.012,0.0425,0.0907,0.0645,0.0425,0.0474
"20",0.1569,0.1313,0.1554,0.1085,0.1826,0.1822,0.2091,0.1826,0.1959
"21",0.1164,0.2636,0.1153,0.0881,0.1575,0.3376,0.1834,0.1575,0.1694
"22",2e-04,0.122,2e-04,1e-04,0.0025,0.2084,0.0142,0.0025,0.003
"23",0.347,0.6899,0.3458,0.3167,0.4079,0.6917,0.4271,0.4079,0.4258
"24",3e-04,0.057,3e-04,2e-04,0.0036,0.0939,0.0161,0.0036,0.0042
"25",0.5274,0.8589,0.5264,0.4783,0.578,0.8595,0.5908,0.578,0.5953
"26",0.1129,0.6433,0.1126,0.0799,0.1442,0.6492,0.174,0.1442,0.1557
"27",0.9704,0.4889,0.9695,0.9257,0.9583,0.5498,0.9585,0.9583,0.9612
"28",0.0339,0.3106,0.0338,0.0262,0.0767,0.3233,0.1038,0.0767,0.0843
"29",0.0985,0.1965,0.0981,0.0723,0.1408,0.2411,0.1664,0.1408,0.1521
"30",0.0321,0.1157,0.0318,0.0205,0.0613,0.1808,0.0863,0.0613,0.0677
"31",0.0291,0.5647,0.029,0.0211,0.0719,0.5811,0.1004,0.0719,0.0792
"32",0.0194,0.0049,0.0194,0.008,0.014,0.0159,0.0312,0.014,0.0159
"33",0.1219,0.6915,0.1215,0.1033,0.1919,0.7014,0.2158,0.1919,0.2054
"34",0.0024,0.2003,0.0024,0.0017,0.0069,0.224,0.0192,0.0069,0.008
"35",0.0444,0.0016,0.0457,0.0152,0.0014,0.0079,0.0099,0.0014,0.0017
"36",0.0212,0.5603,0.0212,0.0176,0.0531,0.5777,0.0778,0.0531,0.0588
"37",0.1772,0.2848,0.1758,0.1188,0.1898,0.3675,0.2166,0.1898,0.2033
"38",0.003,0.0802,0.003,0.0018,0.0087,0.1143,0.0246,0.0087,0.01
"39",2e-04,0.1272,2e-04,1e-04,0.0019,0.1333,0.0084,0.0019,0.0022
