"","AG","AF","B2","GF","JF","MBF","PB","WE","WA"
"1",0.0647,0.8658,0.0647,0.0567,0.076,0.8672,0.0793,0.076,0.0791
"2",0.0351,0.2481,0.035,0.0286,0.0435,0.2606,0.0461,0.0435,0.0455
"3",0.0156,0.0674,0.0156,0.0122,0.0202,0.073,0.0224,0.0202,0.0213
"4",0.0333,0.1894,0.0333,0.0275,0.0433,0.2039,0.0447,0.0433,0.0454
"5",0.5839,0.5742,0.5837,0.5586,0.5904,0.6086,0.5896,0.5904,0.5968
"6",0.0417,0.1063,0.0417,0.0336,0.0427,0.1638,0.0457,0.0427,0.0448
"7",0.0012,0.1597,0.0012,9e-04,0.0024,0.1871,0.0035,0.0024,0.0025
"8",0.8343,0.7239,0.8342,0.8187,0.8368,0.7333,0.8384,0.8368,0.8403
"9",0.0229,0.1158,0.023,0.0177,0.0247,0.1357,0.0265,0.0247,0.026
"10",0.1129,0.2734,0.1129,0.0996,0.1268,0.2777,0.1288,0.1268,0.131
"11",0.5188,0.9561,0.5187,0.4921,0.525,0.9593,0.5274,0.525,0.5318
"12",0.0732,0.5055,0.0732,0.0649,0.0896,0.5097,0.094,0.0896,0.0931
"13",0.0627,0.0387,0.0626,0.0492,0.0662,0.0453,0.0696,0.0662,0.069
"14",0.0863,0.7259,0.0863,0.0775,0.1037,0.7388,0.1082,0.1037,0.1074
"15",0.8922,0.8528,0.8921,0.8832,0.8956,0.8563,0.8968,0.8956,0.898
"16",0.393,0.5183,0.3929,0.367,0.4042,0.5276,0.4068,0.4042,0.4111
"17",0.2233,0.2336,0.2231,0.1979,0.2297,0.2513,0.232,0.2297,0.2356
"18",0.032,0.5867,0.032,0.0271,0.0388,0.5887,0.0416,0.0388,0.0407
"19",0.2635,0.1399,0.2634,0.2335,0.2657,0.1673,0.2688,0.2657,0.2719
"20",0.7685,0.774,0.7684,0.7511,0.773,0.7773,0.7739,0.773,0.7775
"21",0.1682,0.7112,0.1682,0.1476,0.1782,0.7142,0.1831,0.1782,0.1834
"22",0.213,0.0589,0.2129,0.1826,0.2079,0.093,0.211,0.2079,0.2135
"23",0.4492,0.7927,0.4491,0.4224,0.4585,0.8081,0.4618,0.4585,0.4655
"24",0.0308,0.4581,0.0308,0.0263,0.0438,0.4712,0.046,0.0438,0.0459
"25",0.4208,0.4534,0.4207,0.3957,0.4332,0.4562,0.4345,0.4332,0.4401
"26",0.962,0.9293,0.962,0.9574,0.9629,0.929,0.9623,0.9629,0.9639
"27",0.7157,0.7278,0.7156,0.6922,0.7173,0.7671,0.7211,0.7173,0.7225
"28",0.0022,0.4425,0.0022,0.0019,0.0043,0.4474,0.0055,0.0043,0.0046
"29",0.0225,0.2599,0.0225,0.0184,0.0297,0.2748,0.0313,0.0297,0.0312
"30",0.257,0.063,0.257,0.222,0.247,0.078,0.249,0.247,0.2531
"31",0.256,0.8709,0.256,0.2342,0.2666,0.8723,0.2696,0.2666,0.2729
"32",0.3452,0.7996,0.3451,0.3263,0.3634,0.8278,0.364,0.3634,0.3702
"33",0.1022,0.6804,0.1022,0.0921,0.1177,0.6916,0.1211,0.1177,0.1218
"34",0.6681,0.4282,0.6679,0.6389,0.6695,0.4422,0.6699,0.6695,0.6752
"35",0.2841,0.7559,0.2841,0.2624,0.2999,0.7565,0.3031,0.2999,0.3064
"36",0.0087,0.2388,0.0087,0.0066,0.0127,0.2885,0.0147,0.0127,0.0135
"37",0.1305,0.78,0.1305,0.1199,0.149,0.7901,0.1528,0.149,0.1537
"38",0.8579,0.8651,0.8578,0.8462,0.8619,0.8746,0.8607,0.8619,0.8649
"39",0.1209,0.633,0.1209,0.1042,0.1234,0.6409,0.1264,0.1234,0.1276
"40",0.1684,0.4641,0.1684,0.1509,0.1856,0.5269,0.191,0.1856,0.191
"41",0.1624,0.4317,0.1624,0.1362,0.1567,0.459,0.1614,0.1567,0.1616
"42",0.5926,0.6026,0.5924,0.5675,0.6032,0.6042,0.6064,0.6032,0.6095
"43",0.0099,0.1638,0.0099,0.0077,0.0154,0.1737,0.0173,0.0154,0.0163
"44",0.5052,0.8765,0.5051,0.486,0.5219,0.8904,0.5236,0.5219,0.5287
"45",0.9365,0.6027,0.9363,0.9067,0.925,0.6489,0.9241,0.925,0.9268
