"","AG","AF","B2","GF","JF","MBF","PB","WE","WA"
"1",0.0916,0.0067,0.0916,0.0766,0.0819,0.0067,0.0829,0.0819,0.0842
"2",0.0618,0.0036,0.0618,0.0505,0.0577,0.0036,0.0578,0.0577,0.0596
"3",0.0028,0,0.0028,0.0017,7e-04,0,8e-04,7e-04,7e-04
"4",0.4157,0.5919,0.4156,0.393,0.4116,0.5919,0.411,0.4116,0.4165
"5",0.0244,0.0044,0.0245,0.0188,0.0152,0.0044,0.0156,0.0152,0.0158
"6",0.1189,0.0236,0.1189,0.1038,0.1103,0.0236,0.1109,0.1103,0.1131
"7",0.0139,0.0044,0.0139,0.0113,0.0161,0.0044,0.0167,0.0161,0.0168
"8",0.2808,0.022,0.2808,0.2487,0.2615,0.022,0.261,0.2615,0.266
"9",0.22,0.0291,0.2199,0.1956,0.2125,0.0291,0.2128,0.2125,0.2165
"10",0.0697,0.0786,0.0697,0.0611,0.071,0.0786,0.0713,0.071,0.0732
"11",0.0494,0.0189,0.0494,0.0418,0.0463,0.0189,0.0471,0.0463,0.0479
"12",0.0105,2e-04,0.0105,0.0082,0.0086,2e-04,0.0093,0.0086,0.009
"13",0.0889,0.0055,0.089,0.0707,0.0711,0.0055,0.0726,0.0711,0.0732
"14",0.0037,5e-04,0.0037,0.0024,0.0032,5e-04,0.0033,0.0032,0.0034
"15",0.0072,0,0.0073,0.0044,0.003,0,0.0036,0.003,0.0032
"16",0.2627,0.0415,0.2627,0.2274,0.2367,0.0415,0.2358,0.2367,0.2409
"17",0.0037,0,0.0037,0.0025,0.0014,0,0.0016,0.0014,0.0015
"18",0.055,0.0023,0.0551,0.045,0.0495,0.0023,0.0503,0.0495,0.0512
"19",0.1342,0.0724,0.1342,0.1143,0.1171,0.0724,0.1181,0.1171,0.1201
"20",0.0015,1e-04,0.0015,9e-04,0.0014,1e-04,0.0014,0.0014,0.0015
"21",0.0016,1e-04,0.0016,0.0011,0.0013,1e-04,0.0014,0.0013,0.0014
"22",0.0156,0.0018,0.0157,0.0118,0.0104,0.0018,0.0109,0.0104,0.0109
"23",0.3826,0.146,0.3825,0.3603,0.3864,0.146,0.3857,0.3864,0.3912
"24",0.1559,0.0305,0.1559,0.1346,0.1448,0.0305,0.1464,0.1448,0.1481
